Epsilon,Robust Cost,Nominal Cost,Rho,Rho (True),Workload (Perturbed),Workload (True)
0.6500000000000001,0.5604557579899482,0.5130504584788099,0.7000000000000001,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6500000000000001,0.5730055301028076,0.5130504584200266,0.8,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6500000000000001,0.5947358368318474,0.5130504583452713,0.9,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6500000000000001,0.6218941880205907,0.5130504584918295,1.0,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6500000000000001,0.6578708739444827,0.5130504583763006,1.1,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6500000000000001,0.6819923687142201,0.5130504584099923,1.2000000000000002,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6500000000000001,0.7048482325670888,0.5130504584310409,1.3,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6500000000000001,0.7265216447328464,0.5130504584250306,1.4000000000000001,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6500000000000001,0.7472693311183578,0.5130504585366678,1.5,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6500000000000001,0.7642906853615621,0.5130504584379105,1.6,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6500000000000001,0.7833779477656078,0.5130504584648168,1.7000000000000002,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6500000000000001,0.7995655168245729,0.5130504584084713,1.8,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6500000000000001,0.8143728726076287,0.513050458361024,1.9000000000000001,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.6500000000000001,0.8284631079046014,0.5130504583853389,2.0,0.0011500601940518914,"Workload(z0=0.4957293336880734, z1=0.4790478483682383, q=0.010083476673170142, w=0.015139341270518091)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7000000000000001,0.5130935852596475,0.5130504585052245,0.0,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7000000000000001,0.515086186504871,0.5130504584579968,0.1,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7000000000000001,0.5160330559866806,0.5130504584912542,0.2,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7000000000000001,0.520323426516324,0.5130504585454455,0.30000000000000004,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
